epoch,avg_train_loss,avg_val_patch_loss,val_pesq,val_stoi,val_si_sdr,learning_rate,epoch_time_s,best_model_saved
1,0.02133053414330914,0.008401740080109615,2.0880013490716616,nan,nan,0.075,167.34752368927002,True
2,0.007768785306234698,0.007729915447062117,2.0124858192271655,nan,nan,0.06552190922586446,168.90519785881042,True
3,0.00732153304049681,0.0076373145305391014,2.3076925666795836,nan,nan,0.0572416078480323,161.79192352294922,True
4,0.0070025155363583015,0.006835103026944502,2.269677447941568,nan,nan,0.05000772577815069,176.9312653541565,True
5,0.006826510262172455,0.00770210894092318,2.0464832951625187,nan,nan,0.0436880222537055,184.81837058067322,False
6,0.006708825644020034,0.006573427646506535,2.193872713545958,nan,nan,0.03816696837819784,183.23032212257385,True
7,0.006605512601719506,0.006974738536820072,2.1363249017132655,nan,nan,0.033343635166702905,183.55344247817993,False
8,0.006516089825266508,0.006748087879473707,2.1229774963524606,nan,nan,0.02912984848870733,182.40784311294556,False
9,0.006437736959464249,0.006777866916120823,2.207057957682345,nan,nan,0.025448577179203555,163.77984857559204,False
10,0.0063844309134901255,0.006581657171388553,2.191259182824029,nan,nan,0.022232524851509082,162.91508412361145,False
11,0.006337928030839711,0.0063452378969810815,2.2861357432272698,nan,nan,0.01942289966909805,162.43158626556396,True
12,0.006305386155301356,0.006299088437420626,2.24232758829991,nan,nan,0.0169683395869562,162.40563464164734,True
13,0.006271298439509567,0.006298759924087288,2.2281711954209538,nan,nan,0.014823973415069157,162.39792919158936,False
14,0.006238337408151777,0.006246848791923331,2.2405794733100466,nan,nan,0.012950600539583856,162.25917720794678,True
15,0.0062108535419478725,0.0061949387074972705,2.2609191621343294,nan,nan,0.01131397430633393,162.02681708335876,True
16,0.0061966149864354355,0.006245848986363017,2.335186705324385,nan,nan,0.009884175966444994,162.2029149532318,False
17,0.006182895056275344,0.0062124179649412975,2.2865386643343504,nan,nan,0.0086350677392784,182.13647079467773,False
18,0.006168391466340571,0.006252722587200931,2.2323332137531704,nan,nan,0.0075438149942958655,181.22586464881897,False
19,0.0061475236782397346,0.006286559931548505,2.2348506776822936,nan,nan,0.006590468816972919,181.67061853408813,False
20,0.006133457506610744,0.006173433674413754,2.272425137460232,nan,nan,0.005757601327754532,182.30724024772644,True
21,0.006120977641379467,0.006147952245858808,2.265565794706345,nan,nan,0.005029987087411322,181.5868489742279,True
22,0.006115356544068376,0.006145307913304831,2.281363595028718,nan,nan,0.004394324764648467,166.88168144226074,False
23,0.006106532162761894,0.006156434956670407,2.2748066276311874,nan,nan,0.0038389939778435333,166.38735055923462,False
24,0.00610219389093162,0.0061590204713866115,2.277124419146114,nan,nan,0.0033538428657987245,177.18183588981628,False
25,0.006090743445802009,0.006147738436408256,2.302775113615725,nan,nan,0.0029300025041423617,166.25725293159485,False
26,0.006088289134275753,0.0061162013972670525,2.2851590287354258,nan,nan,0.0025597247747729517,165.88990831375122,True
27,0.006082141357991431,0.006140343539802165,2.2775420241885715,nan,nan,0.0022362407244782626,166.297043800354,False
28,0.00608744603399744,0.006125514912044351,2.2751674729916784,nan,nan,0.001953636823419281,166.03843116760254,False
29,0.006078875261462397,0.006126190130277698,2.2550065133306716,nan,nan,0.001706746861391791,165.82851600646973,False
30,0.006079615709296931,0.006139134566684992,2.2794690014587506,nan,nan,0.00149105750564856,165.88905882835388,False
31,0.006072089841439463,0.006116167583299437,2.2828688906298744,nan,nan,0.001302625793808651,167.86861610412598,False
