epoch,avg_train_loss,avg_val_patch_loss,val_pesq,val_stoi,val_si_sdr,learning_rate,epoch_time_s,best_model_saved
1,0.021484797456483733,0.010365978640707573,1.9486090146832995,nan,nan,0.075,179.03373098373413,True
2,0.008298420202757778,0.007994006537757385,2.2997351467609404,nan,nan,0.06552190922586446,178.38628959655762,True
3,0.007831155017403692,0.008472313997389257,2.401986193160216,nan,nan,0.0572416078480323,173.20123100280762,False
4,0.007583795284845249,0.007632725770403257,2.2715100556612016,nan,nan,0.05000772577815069,176.9936649799347,True
5,0.007388078925196238,0.00904388505237541,2.0904174690445263,nan,nan,0.0436880222537055,174.2976369857788,False
6,0.007309929885227105,0.007518057936224444,2.195367421872086,nan,nan,0.03816696837819784,172.4740810394287,True
7,0.007216772749677472,0.007790583975334791,2.186806107064088,nan,nan,0.033343635166702905,174.2589955329895,False
8,0.00716414209633666,0.007644179311912806,2.197063134279516,nan,nan,0.02912984848870733,173.5689172744751,False
9,0.007101976326970076,0.008727588682788712,2.108749765819973,nan,nan,0.025448577179203555,175.73694038391113,False
10,0.007023315466369477,0.006988113095726946,2.3339282722936736,nan,nan,0.022232524851509082,169.27925086021423,True
11,0.007000623270869255,0.006949030922661568,2.3575160261657504,nan,nan,0.01942289966909805,170.3387200832367,True
12,0.006961149449007036,0.007209914709687576,2.24276999682188,nan,nan,0.0169683395869562,168.38755989074707,False
13,0.006925938991736978,0.007003491527625713,2.3111167864667044,nan,nan,0.014823973415069157,166.4916934967041,False
14,0.006900571436546315,0.007147682108113478,2.299396830631627,nan,nan,0.012950600539583856,166.12757420539856,False
15,0.006877284741450201,0.0068619667750451415,2.3358639251854685,nan,nan,0.01131397430633393,163.00660276412964,True
16,0.0068539525756890745,0.0068735617437753185,2.404031849404176,nan,nan,0.009884175966444994,168.03861141204834,False
17,0.006850270536581903,0.007336471607137857,2.323084350261423,nan,nan,0.0086350677392784,169.64452958106995,False
18,0.006834925807141823,0.006877952621949987,2.3399486829837164,nan,nan,0.0075438149942958655,171.81136345863342,False
19,0.006819902276941414,0.0071916142398298815,2.2620918227566613,nan,nan,0.006590468816972919,174.76154708862305,False
20,0.006804353634245208,0.006797877084142689,2.379694870942169,nan,nan,0.005757601327754532,171.66576862335205,True
21,0.006785645561785191,0.006846581526828566,2.3756613896952734,nan,nan,0.005029987087411322,182.51319694519043,False
22,0.006790750618966945,0.006807614088422437,2.3608416254321734,nan,nan,0.004394324764648467,182.7933738231659,False
23,0.006778259811587489,0.006792010263079542,2.368955631554127,nan,nan,0.0038389939778435333,169.59331917762756,False
24,0.006768517403139008,0.0068015684828633205,2.3588080109821425,nan,nan,0.0033538428657987245,173.86030793190002,False
25,0.006764906105296365,0.006786578003017382,2.4001644634538226,nan,nan,0.0029300025041423617,168.92031812667847,True
26,0.006762815113054496,0.00678442617418009,2.378545480635431,nan,nan,0.0025597247747729517,169.34824013710022,False
27,0.006755248663083461,0.006849909682982954,2.358538999160131,nan,nan,0.0022362407244782626,169.21956181526184,False
28,0.006759750464096151,0.006815937679560705,2.396112581425243,nan,nan,0.001953636823419281,172.3023178577423,False
29,0.006748873915280647,0.006796071180088938,2.3776891210012967,nan,nan,0.001706746861391791,169.09439635276794,False
30,0.006750626869542503,0.006812368134229347,2.366402386625608,nan,nan,0.00149105750564856,173.5997965335846,False
