epoch,avg_train_loss,avg_val_patch_loss,val_pesq,val_stoi,val_si_sdr,learning_rate,epoch_time_s,best_model_saved
1,0.020494125617518164,0.007738354011042707,2.1890970322820875,nan,nan,0.075,177.65253496170044,True
2,0.007493826833649956,0.010188552575057437,2.1316261793176334,nan,nan,0.06552190922586446,175.2569432258606,False
3,0.007050272139767007,0.007010869240259816,2.3832334289948145,nan,nan,0.0572416078480323,178.9626431465149,True
4,0.006763817926233641,0.006884569620670772,2.338046575917138,nan,nan,0.05000772577815069,173.09885144233704,True
5,0.006531353713409312,0.0067154454607944725,2.368886422779825,nan,nan,0.0436880222537055,172.4411211013794,True
6,0.006374821553927386,0.006745841260464199,2.388048645688428,nan,nan,0.03816696837819784,172.8735647201538,False
7,0.006231959220521523,0.0064544812789529395,2.392629108329614,nan,nan,0.033343635166702905,172.45828247070312,True
8,0.006127004504517805,0.006371261980170491,2.434993994732698,nan,nan,0.02912984848870733,171.5643424987793,True
9,0.006020971893250828,0.006529466044318317,2.376158588131269,nan,nan,0.025448577179203555,172.00722670555115,False
10,0.00594543168585305,0.006154648084514614,2.4219691455364227,nan,nan,0.022232524851509082,171.5710003376007,True
11,0.005902449354186825,0.006022686137411015,2.473932477666272,nan,nan,0.01942289966909805,171.31248497962952,True
12,0.005853050026214785,0.006014930798896942,2.4742305144667625,nan,nan,0.0169683395869562,171.5259120464325,False
13,0.005812117901284576,0.00640690801317279,2.389478374520938,nan,nan,0.014823973415069157,172.7552092075348,False
14,0.005775594305946452,0.005974234967631684,2.4476187020540237,nan,nan,0.012950600539583856,172.52483296394348,True
15,0.005744093643694088,0.005970787868471067,2.4370560925867824,nan,nan,0.01131397430633393,171.28688883781433,False
16,0.005721037830957622,0.005950726378687668,2.485608044101132,nan,nan,0.009884175966444994,172.22470545768738,True
17,0.005712329720457395,0.006109170475171815,2.438121722638607,nan,nan,0.0086350677392784,172.16092157363892,False
18,0.005699469370703245,0.005959739942028691,2.4604189054833516,nan,nan,0.0075438149942958655,171.9480848312378,False
19,0.005677647032271856,0.006033595593849561,2.4379970437950558,nan,nan,0.006590468816972919,171.9088954925537,False
20,0.005658308782711111,0.005889614498050049,2.4801184404227468,nan,nan,0.005757601327754532,171.60588240623474,True
21,0.005643700311938123,0.005853973262161873,2.4885704543855454,nan,nan,0.005029987087411322,171.32095885276794,True
22,0.005636656437411733,0.0058594256045361014,2.477707284192244,nan,nan,0.004394324764648467,171.55398988723755,False
23,0.00562772443660774,0.005883326481000103,2.4793523066573675,nan,nan,0.0038389939778435333,170.97365760803223,False
24,0.005621135688005051,0.005896582753911358,2.462216761377123,nan,nan,0.0033538428657987245,171.4296383857727,False
25,0.0056071708735321215,0.00583022879971855,2.486931704150306,nan,nan,0.0029300025041423617,171.6847002506256,True
26,0.005608093218299849,0.005807124875785633,2.4941491910152966,nan,nan,0.0025597247747729517,171.55003881454468,True
27,0.005604016803333472,0.005828793805584997,2.486944133705563,nan,nan,0.0022362407244782626,171.86105632781982,False
28,0.00560876069112299,0.005812850301742725,2.4884377212988005,nan,nan,0.001953636823419281,171.75634264945984,False
29,0.0055965701103838465,0.005817294547644754,2.4899960251318083,nan,nan,0.001706746861391791,173.12734818458557,False
30,0.005599705652258862,0.005854676519092387,2.4801944088604717,nan,nan,0.00149105750564856,171.7778925895691,False
31,0.005588950985378918,0.00581694111875633,2.4876191541552544,nan,nan,0.001302625793808651,171.84178733825684,False
