epoch,avg_train_loss,avg_val_patch_loss,val_pesq,val_stoi,val_si_sdr,learning_rate,epoch_time_s,best_model_saved
1,0.01783480192802247,0.0075601545060802805,1.9870088105400403,nan,nan,0.075,176.11189365386963,True
2,0.007469112958073959,0.007074205908688834,2.244597788320647,nan,nan,0.06552190922586446,174.2197732925415,True
3,0.007084734657586649,0.0081386163766528,2.0206354475683637,nan,nan,0.0572416078480323,175.6140251159668,False
4,0.0068246670588280045,0.006648485527384555,2.1731741211480564,nan,nan,0.05000772577815069,178.06755924224854,True
5,0.006603115959043018,0.007023026555209239,2.050534191727638,nan,nan,0.0436880222537055,172.14043736457825,False
6,0.00649825737087263,0.006846460155157864,2.0739292058679792,nan,nan,0.03816696837819784,174.82915472984314,False
7,0.006395975720151631,0.0063684734772762345,2.2138096910383966,nan,nan,0.033343635166702905,171.43436813354492,True
8,0.006325118636205735,0.006259506613808288,2.174499377111594,nan,nan,0.02912984848870733,163.621089220047,True
9,0.0062425035672883196,0.007029073014480715,2.148086863590611,nan,nan,0.025448577179203555,163.22725582122803,False
10,0.006184898191970199,0.006259927332090835,2.203021146191491,nan,nan,0.022232524851509082,163.45730686187744,False
11,0.006148570691774174,0.00629688995012521,2.205094035797649,nan,nan,0.01942289966909805,167.6960129737854,False
12,0.00611541111921442,0.006199359952675542,2.2235540451274978,nan,nan,0.0169683395869562,167.83327841758728,True
13,0.006077350218962321,0.006208116444223828,2.205973226990965,nan,nan,0.014823973415069157,167.69831728935242,False
14,0.006047242258629008,0.006077226371793398,2.2282629112402597,nan,nan,0.012950600539583856,175.63566064834595,True
15,0.006019184265956568,0.006018891919875282,2.247256906992859,nan,nan,0.01131397430633393,170.15996551513672,True
16,0.006005740911838995,0.006044213606537074,2.30575127982431,nan,nan,0.009884175966444994,169.8928599357605,False
17,0.005991435552665328,0.006069043837220076,2.2677061152127056,nan,nan,0.0086350677392784,171.80586290359497,False
18,0.005979747456138047,0.006236611722283408,2.192193214264181,nan,nan,0.0075438149942958655,176.67832922935486,False
19,0.005961043858308331,0.006077794311300519,2.240645976199044,nan,nan,0.006590468816972919,170.62321162223816,False
20,0.005946923049088297,0.005981660862827952,2.284241005116039,nan,nan,0.005757601327754532,169.38533639907837,True
21,0.0059351204337830515,0.0059880516692546425,2.26280776510636,nan,nan,0.005029987087411322,172.03518199920654,False
22,0.005928020603184043,0.005990967744608121,2.2425207234091227,nan,nan,0.004394324764648467,176.1222846508026,False
23,0.005921330484936292,0.005956913806209019,2.281485227412648,nan,nan,0.0038389939778435333,169.93423676490784,True
24,0.005914458894381349,0.005993782523912431,2.2669024487336475,nan,nan,0.0033538428657987245,171.27844071388245,False
25,0.0059045780471515385,0.005948526956055356,2.3014689566360578,nan,nan,0.0029300025041423617,172.62910723686218,False
26,0.005902511560111895,0.005931761986897166,2.301700267857975,nan,nan,0.0025597247747729517,176.38032150268555,True
27,0.005898998973541447,0.0059532339446482134,2.2704674563474123,nan,nan,0.0022362407244782626,170.43341636657715,False
28,0.005902750699484714,0.005931410934487036,2.2907283999853663,nan,nan,0.001953636823419281,170.41875386238098,False
29,0.005893754920925788,0.00595837164183158,2.2575011332829793,nan,nan,0.001706746861391791,174.76308393478394,False
30,0.005895223304400956,0.005947189912703103,2.2793290906482273,nan,nan,0.00149105750564856,175.65479350090027,False
31,0.00588780730584515,0.00593857363069794,2.281564210686419,nan,nan,0.001302625793808651,170.45722770690918,False
